Attack #,Start Time,End Time,Attack Point,Start State,Attack,Actual Change,Expected Impact or attacker intent,Unexpected Outcome
1,2015-12-28 10:29,2015-12-28 10:44,MV-101,MV-101 is closed,Open MV-101,Yes,Tank overflow,
2,2015-12-28 10:51,2015-12-28 10:58,P-102,P-101 is on where as P-102 is off,Turn on P-102,Yes,Pipe bursts,
3,2015-12-28 11:22,2015-12-28 11:28,LIT-101,Water level between L and H,Increase by 1 mm every second,No,Tank Underflow; Damage P-101,
4,2015-12-28 11:47,2015-12-28 11:54,MV-504,MV-504 is closed,Open MV-504,Yes,Halt RO shut down sequence; Reduce life of RO,No impact
6,2015-12-28 12:00,2015-12-28 12:04,AIT-202,Value of AIT-202 is >7.05,Set value of AIT-202  as 6,No,P-203 turns off; Change in water quality,Impact seen on AIT-504 after two hours at around 14:15. It increased above HH but Drainage did not start
7,2015-12-28 12:08,2015-12-28 12:15,LIT-301,Water level between L and H,Water level increased above HH,No,Stop of inflow; Tank underflow; Damage P-301,
8,2015-12-28 13:10,2015-12-28 13:26,DPIT-301,Value of DPIT is <40kpa,Set value of DPIT as >40kpa,No,Backwash process is started again and again; Normal operation stops; Decrease in water level of tank 401. Increase in water level of tank 301,
10,2015-12-28 14:16,2015-12-28 14:19,FIT-401,Value of FIT-401 above 1,Set value of FIT-401 as <0.7,No,UV shutdown; P-501 turns off; ,UV did not shutdown; P-501 did not turn off
11,2015-12-28 14:19,2015-12-28 14:28,FIT-401,Value of FIT-401 above 1,Set value of FIT-401 as 0,No,UV shutdown; P-501 turns off; ,
13,2015-12-29 11:11,2015-12-29 11:15,MV-304,MV-304 is open,Close MV-304,Yes,Halt of stage 3 because change in the backwash process,UF Startup did not stop because MV-304 was closed late
14,2015-12-29 11:35,2015-12-29 11:42,MV-303,MV-303 is closed,Do not let MV-303 open,Yes,Halt of stage 3 because change in the backwash process,Attack Failed because Startup sequence did not start because Tank 301 was already full
16,2015-12-29 11:57,2015-12-29 12:02,LIT-301,Water level between L and H,Decrease water level by 1mm each second,No,Tank Overflow,
17,2015-12-29 14:38,2015-12-29 14:50,MV-303,Closed,Do not let MV-303 open,Yes,Halt of stage 3 because change in the backwash process,
19,2015-12-29 18:10,2015-12-29 18:15,AIT-504,Value of AIT-504 <15 uS/cm,Set value of AIT-504 to 16 uS/cm,No,RO shut down sequence starts after 30 minutes. Water should go to drain.,RO did not shutdown; Water did not go to drain
20,2015-12-29 18:15,2015-12-29 18:22,AIT-504,Value of AIT-504 <15 uS/cm,Set value of AIT-504 to 255 uS/cm,No,RO shut down sequence starts after 30 minutes. Water should go to drain.,RO did not shutdown; Water did not go to drain
21,2015-12-29 18:30,2015-12-29 18:42,"MV-101, LIT-101",MV-101 is open; LIT-101 between L and H,Keep MV-101 on countinuosly; Value of LIT-101 set as 700 mm,Yes,Tank overflow,
22,2015-12-29 22:55,2015-12-29 23:03,"UV-401, AIT-502, P-501",UV-01 is on; AIT-502 is <150; P-501 is open,Stop UV-401; Value of AIT502 set as 150; Force P-501 to remain on,Yes,Possible damage to RO,P501 could not be kept on; Reduced output at FIT-502
23,2015-12-30 1:42,2015-12-30 1:54,"P-602, DPIT-301, MV-302",DPIT-301 is <0.4 bar; MV-302 is on; P-602 is closed,Value of DPIT-301 set to >0.4 bar; Keep MV-302 open; Keep P-602 closed ,Yes,System freeze,
24,2015-12-30 9:51,2015-12-30 9:56,"P-203, P-205",P-203 is on; P-205 is on,Turn of P-203 and P-205,Yes,Change in water quality,Not much impact made due to closure of P-101 because tank T-101 became full
25,2015-12-30 10:01,2015-12-30 10:12,"LIT-401, P-401",Value of LIT-401 <1000; P-402 is on,Set value of LIT-401 as 1000; P402 is kept on,Yes,Tank underflow,
26,2015-12-30 17:04,2015-12-30 17:29,"P-101, LIT-301",P-101 is off; P-102 is on; LIT-301 is between L and H,P-101 is turned on continuosly; Set value of LIT-301 as 801 mm,Yes,Tank 101 underflow; Tank 301 overflow,
27,2015-12-31 1:17,2015-12-31 1:45,"P-302, LIT-401","P302 is on, LIT401 Is  between L and H",Keep P-302 on contineoulsy; Value of  LIT401 set as 600 mm till 1:26:01,Yes,Tank overflow,
